<<<<<<< HEAD
battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi
0.174095261618694,1.0100505037878158,1.3210955615546396,-1.019183979313898,0.6198797067425464,-1.0439655927422493,1.761379557145424,1.0343568190481278,-0.3461068599307856,1.0840459408623657,1.0034144836503964,-1.321045362248061,-1.5656769047388057,1.0639268580302086,-1.4972016129986656,-0.6353166675633032,0.3641130581304287,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
1.118762057794997,-0.9900495037128095,0.5856213449619383,0.981177118456265,-0.9928903907106499,0.9578859753157553,-0.6640417743017933,-1.3933037788854497,0.07773205744710533,-0.22756439290940172,0.013772517364150388,-0.5118851306063602,-0.528859192028624,-0.48799641902599095,0.40204724199052416,-1.3241312691859664,0.18104968048818207,0.5596406313378746,0.9940178924830986,-1.0140993866100703
1.6172729695121304,1.0100505037878158,-1.253064196519815,0.981177118456265,-0.532098934295451,0.9578859753157553,-0.05768644143998903,-1.3933037788854497,0.13424391309749079,0.2096390516811874,-0.15116781035022395,0.4325107943459311,-0.1608814770265728,-1.1915718559801682,-1.259795506125017,-0.6353166675633032,1.4624933239839086,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
0.3561997042550898,1.0100505037878158,1.5662536337522064,-1.019183979313898,-0.9928903907106499,0.9578859753157553,1.2652706484403113,0.34073950535281977,-0.6286661381827129,-0.6647678374999909,-1.4706904320652185,0.30854474214455635,1.2392853001824897,1.1515279936929173,-0.310171078630422,-0.8649215347708576,0.9133031910571687,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-1.0118599210508334,-0.9900495037128095,1.198516525455856,0.981177118456265,2.4630455324033425,-1.0439655927422493,-0.9947810467718684,0.34073950535281977,1.6035521600075127,-0.6647678374999909,1.4982354667935194,-0.750801522121737,0.28809762178096127,0.04314309825527517,1.5890777763587678,0.5127076684744689,1.279429946341662,-1.7868609675630667,-1.0060181084889308,0.9860966422066364
0.27197639953575675,-0.9900495037128095,0.21788423666558757,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,1.5408867088320406,0.34073950535281977,0.19075576874787625,-0.6647678374999909,-1.4706904320652185,0.5497150618817763,0.8875078619415351,-1.5530418052410297,0.40204724199052416,0.9719174028895778,0.3641130581304287,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
1.508010303930293,1.0100505037878158,-1.253064196519815,-1.019183979313898,0.15908825032734747,0.9578859753157553,0.49354567934346943,0.34073950535281977,-0.26133907645520743,-1.10197128209058,1.1683548113647708,-1.4472653426712787,0.9499946437343363,-1.619434244901188,-1.7346077198723144,-1.094526401978412,0.18104968048818207,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
1.130143585459772,1.0100505037878158,0.4630423088631546,0.981177118456265,-0.9928903907106499,0.9578859753157553,1.4857634967536948,0.6875481622004737,0.219011696573069,0.6468424962717766,-1.635630759779593,-1.145238960944293,-0.9384947615592091,1.019665231590103,-1.4972016129986656,-1.094526401978412,-0.36814045243855786,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-0.7273217294314651,-0.9900495037128095,-1.253064196519815,0.981177118456265,1.5414626195729444,-1.0439655927422493,-1.0499042588502143,-0.6996864651901419,0.5298269026501891,-1.539174726681169,0.838474155936022,-0.8341968663299346,-1.577248530996732,-1.0108368813497373,-1.0223893992513682,-0.4057118003557487,1.0963665686994153,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-1.0687675593747072,1.0100505037878158,-0.3950109438283302,-1.019183979313898,-0.532098934295451,-1.0439655927422493,-0.8294114105368309,-1.3933037788854497,-1.2785524781621458,1.5212493854529547,-0.9758694489220956,1.665409531694149,0.468614991404609,-0.2279593636903711,1.351671669485119,-0.8649215347708576,-0.002013697154064573,-1.7868609675630667,-1.0060181084889308,0.9860966422066364
-0.11044293000067439,1.0100505037878158,0.8307794171595057,0.981177118456265,1.0806711631577455,-1.0439655927422493,0.8242849518135446,-0.6996864651901419,1.2927369539303928,0.6468424962717766,0.013772517364150388,1.739789163014974,0.438528763134001,-1.3833722372206254,-0.7849832923777195,-0.6353166675633032,1.4624933239839086,0.5596406313378746,0.9940178924830986,0.9860966422066364
-1.0687675593747072,-0.9900495037128095,-1.253064196519815,0.981177118456265,1.7718583477805439,0.9578859753157553,1.2101474363619655,-1.0464951220377958,-0.7982017051338693,-0.22756439290940172,1.4982354667935194,1.6676634599159923,1.223085023421393,-1.0910610792724285,0.6394533488641729,0.5127076684744689,1.6455567016261552,0.5596406313378746,-1.0060181084889308,0.9860966422066364
1.0550255028722586,-0.9900495037128095,-0.6401690160258973,-1.019183979313898,0.6198797067425464,-1.0439655927422493,0.2179296189517402,-1.3933037788854497,1.038433603503658,0.2096390516811874,-0.15116781035022395,1.3408438677487315,1.5725481364107623,-0.6401457599138537,-1.0223893992513682,0.053497934059360104,-0.18507707479631122,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
-1.4261475280486338,1.0100505037878158,-1.007906124322248,-1.019183979313898,0.38948397853494693,-1.0439655927422493,0.16280640687339437,0.34073950535281977,1.1514573148044291,0.2096390516811874,0.34365317279289903,1.4625559917282631,0.1978389369691374,0.9634160813224689,0.40204724199052416,0.7423125356820234,-0.9173305853652978,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
0.7978029776483495,-0.9900495037128095,-1.1304851604210315,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-1.490889955476981,1.0343568190481278,-0.7982017051338693,0.2096390516811874,-1.3057501043508444,0.29502117281349727,0.33669845206425103,1.2040886750905426,-1.259795506125017,-0.1761069331481943,1.4624933239839086,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.08540356913816996,1.0100505037878158,-1.253064196519815,-1.019183979313898,-0.532098934295451,-1.0439655927422493,-1.2152738950852517,1.7279741327434355,-1.1655287668613747,1.0840459408623657,-0.4810484657789726,-0.764325091452796,-1.6050204340157546,-1.5023253582784089,0.6394533488641729,0.053497934059360104,0.5471764357726754,0.5596406313378746,0.9940178924830986,0.9860966422066364
0.6498431180062779,1.0100505037878158,0.3404632727643712,0.981177118456265,-0.9928903907106499,-1.0439655927422493,-1.2152738950852517,0.34073950535281977,0.95366582002808,-0.22756439290940172,-1.4706904320652185,-1.106922181172959,-1.6235350360284364,0.5106565275288896,0.8768594557378216,-0.1761069331481943,0.3641130581304287,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-0.3881522050211779,-0.9900495037128095,-1.007906124322248,0.981177118456265,1.0806711631577455,-1.0439655927422493,1.044777800126928,-0.006069151494834045,-0.45913057123155654,-0.22756439290940172,0.838474155936022,1.712742024352856,1.5239473061274726,-1.451608911315788,-0.07276497175677328,0.5127076684744689,-0.9173305853652978,0.5596406313378746,0.9940178924830986,-1.0140993866100703
0.1923057058823336,1.0100505037878158,1.198516525455856,0.981177118456265,1.311066891365345,0.9578859753157553,-0.22305607767502658,-1.0464951220377958,-0.26133907645520743,-0.22756439290940172,0.34365317279289903,-1.0888907553982137,-1.4638465936690557,-0.21412760542783812,-0.5475771855040708,-1.3241312691859664,0.7302398134149221,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.39953373268595266,-0.9900495037128095,-0.027273835531979467,-1.019183979313898,0.6198797067425464,-1.0439655927422493,-1.6011363796336728,1.3811654758957816,0.4168031913494181,-0.22756439290940172,0.013772517364150388,-0.5659794079305964,-0.9315517858044534,-0.18923044055527877,-0.07276497175677328,0.9719174028895778,1.6455567016261552,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-1.2599772241429228,-0.9900495037128095,-1.253064196519815,0.981177118456265,0.8502754349501459,0.9578859753157553,-1.0499042588502143,1.0343568190481278,-1.6458795398896513,1.0840459408623657,0.838474155936022,1.005008562694098,-0.11228064674328303,1.001222887240059,0.6394533488641729,0.2831028012669145,-1.6495840959342845,0.5596406313378746,0.9940178924830986,0.9860966422066364
0.5724487298858097,1.0100505037878158,-1.253064196519815,0.981177118456265,-0.07130747788025202,0.9578859753157553,1.761379557145424,-0.6996864651901419,0.2755235522234544,1.5212493854529547,-0.31610813806459825,1.739789163014974,0.49175824392046125,1.3608486020659163,1.1142655626114704,0.7423125356820234,-0.7342672077230512,0.5596406313378746,0.9940178924830986,0.9860966422066364
-1.253148307544058,1.0100505037878158,1.198516525455856,-1.019183979313898,1.0806711631577455,-1.0439655927422493,0.4384224672651236,-1.0464951220377958,-0.8829694886094475,0.2096390516811874,1.6631757945078938,-0.6065501159237736,1.6327205929519784,-0.6844073863539591,-0.07276497175677328,0.2831028012669145,-0.5512038300808045,-1.7868609675630667,0.9940178924830986,-1.0140993866100703
-1.592317831954345,1.0100505037878158,-1.1304851604210315,0.981177118456265,1.0806711631577455,-1.0439655927422493,-0.6089185622234475,-1.3933037788854497,0.13424391309749079,1.0840459408623657,0.6735338282216478,-0.21211267710121762,-1.5101330987007602,1.3580822504134098,0.40204724199052416,-0.1761069331481943,-0.36814045243855786,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
-0.126377068731359,1.0100505037878158,-1.253064196519815,0.981177118456265,-0.3017032060878515,0.9578859753157553,0.8794081638918904,-1.3933037788854497,-0.5721542825323275,1.5212493854529547,0.34365317279289903,-0.8499743638828368,-0.5589454202992319,-0.8964943463794647,-1.0223893992513682,-0.6353166675633032,-1.4665207182920377,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-1.4830551663725076,1.0100505037878158,0.9533584532582887,0.981177118456265,-0.07130747788025202,-1.0439655927422493,-1.4357667433986352,0.6875481622004737,0.840642108727309,-1.539174726681169,1.0034144836503964,-0.07462305556878379,1.253171251692001,0.6019461320616072,-0.7849832923777195,-0.8649215347708576,0.5471764357726754,0.5596406313378746,0.9940178924830986,-1.0140993866100703
1.080064863734763,-0.9900495037128095,1.8114117059497739,0.981177118456265,0.15908825032734747,0.9578859753157553,-0.6640417743017933,1.3811654758957816,-1.024249127735411,1.0840459408623657,1.1683548113647708,-0.9198461387599753,-0.8366644504894591,-1.0633975627473626,-0.310171078630422,0.9719174028895778,-0.18507707479631122,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-1.3851740284554448,-0.9900495037128095,0.5856213449619383,-1.019183979313898,1.0806711631577455,0.9578859753157553,-0.9947810467718684,-0.006069151494834045,1.1232013869792363,1.5212493854529547,0.5085935005072734,-1.3052678646951585,0.4547290398950976,-0.8411673133293328,-0.07276497175677328,0.5127076684744689,0.18104968048818207,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
0.03524062410844223,-0.9900495037128095,-0.3950109438283302,0.981177118456265,-0.532098934295451,-1.0439655927422493,0.9896545880485821,0.6875481622004737,-0.9112254164346402,0.2096390516811874,-0.6459887934933469,-0.4127122888452604,-0.5520024445444762,1.6918886831492055,-0.5475771855040708,-0.4057118003557487,1.0963665686994153,0.5596406313378746,0.9940178924830986,-1.0140993866100703
1.4419974434745997,1.0100505037878158,-1.253064196519815,0.981177118456265,2.2326498041957428,-1.0439655927422493,0.9345313759702363,-1.0464951220377958,-0.03529165385366558,1.0840459408623657,1.333295139079145,-1.271458941367511,0.31818385005156924,0.9486622058424338,0.8768594557378216,2.1199417389273503,-1.1003939630075446,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-0.04670637507793586,-0.9900495037128095,0.3404632727643712,0.981177118456265,-0.7624946625030504,0.9578859753157553,-0.9947810467718684,-0.006069151494834045,0.19075576874787625,-0.6647678374999909,-0.9758694489220956,-0.9378775645347207,-1.4707895694238113,-1.5917707283761222,1.1142655626114704,-1.3241312691859664,-1.1003939630075446,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
0.22872659440961274,1.0100505037878158,0.9533584532582887,0.981177118456265,-0.9928903907106499,-1.0439655927422493,0.4384224672651236,-1.3933037788854497,-0.48738649905674925,-1.10197128209058,-1.4706904320652185,-0.9761943443060548,0.04046481986134196,0.237709831148239,-1.4972016129986656,-0.4057118003557487,-0.7342672077230512,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-1.5376864991634263,1.0100505037878158,-1.253064196519815,0.981177118456265,-0.532098934295451,0.9578859753157553,0.49354567934346943,1.3811654758957816,0.13424391309749079,0.2096390516811874,-0.6459887934933469,1.3926842168511246,1.0749682073199385,0.44149773621622473,-0.310171078630422,-0.8649215347708576,-0.36814045243855786,0.5596406313378746,0.9940178924830986,-1.0140993866100703
0.05572737390503676,1.0100505037878158,0.5856213449619383,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-1.490889955476981,-0.3528778083424879,0.16249984092268352,0.6468424962717766,-1.14080977663647,0.6962203963015828,0.8273354054003192,-0.15326786907269305,-0.7849832923777195,0.053497934059360104,-1.2834573406497911,0.5596406313378746,0.9940178924830986,0.9860966422066364
0.08987195689936096,1.0100505037878158,-0.6401690160258973,-1.019183979313898,0.6198797067425464,0.9578859753157553,-0.44354892598840995,1.0343568190481278,0.840642108727309,-0.6647678374999909,1.0034144836503964,1.5932838285951674,1.2115133971634668,0.9375967992324074,-1.4972016129986656,-0.8649215347708576,-0.002013697154064573,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.41319156588368233,1.0100505037878158,1.4436745976534233,-1.019183979313898,-0.3017032060878515,0.9578859753157553,0.49354567934346943,-1.3933037788854497,-1.2220406225117602,-0.22756439290940172,0.013772517364150388,-0.559217623265067,-0.8343501252378739,-0.08410907776002817,0.8768594557378216,0.7423125356820234,-1.6495840959342845,0.5596406313378746,0.9940178924830986,-1.0140993866100703
0.7317901171926561,-0.9900495037128095,0.9533584532582887,-1.019183979313898,-0.9928903907106499,0.9578859753157553,-0.5537953501451016,1.0343568190481278,0.8123861809021163,1.0840459408623657,-1.4706904320652185,0.2251493979363588,0.26032571876193855,-0.171710213422737,0.6394533488641729,1.2015222700971322,0.9133031910571687,0.5596406313378746,0.9940178924830986,0.9860966422066364
-1.1507145585610852,1.0100505037878158,-1.1304851604210315,0.981177118456265,-0.9928903907106499,-1.0439655927422493,1.706256345067078,-0.6996864651901419,-0.9959931999102184,1.0840459408623657,0.013772517364150388,0.6872046834142101,1.1281976881063986,-1.051410038919834,1.1142655626114704,-0.4057118003557487,-0.36814045243855786,0.5596406313378746,-1.0060181084889308,0.9860966422066364
0.3948968983153239,-0.9900495037128095,-1.1304851604210315,-1.019183979313898,1.0806711631577455,-1.0439655927422493,1.375517072597003,-1.0464951220377958,-1.5328558285888803,-0.6647678374999909,0.013772517364150388,-1.449519270893122,-1.3689592583540613,-0.25009017691042384,0.6394533488641729,0.9719174028895778,1.279429946341662,-1.7868609675630667,-1.0060181084889308,0.9860966422066364
0.5405804524244405,-0.9900495037128095,-1.253064196519815,-1.019183979313898,-0.9928903907106499,0.9578859753157553,0.6037921035001611,0.6875481622004737,0.219011696573069,-1.10197128209058,-1.3057501043508444,2.578250461540636,1.6674354717257567,1.401421759636013,0.6394533488641729,0.9719174028895778,-0.9173305853652978,0.5596406313378746,-1.0060181084889308,0.9860966422066364
1.7151541074291932,1.0100505037878158,0.0953052005668042,-1.019183979313898,0.15908825032734747,0.9578859753157553,1.375517072597003,1.7279741327434355,-1.1372728390361821,-1.10197128209058,0.838474155936022,2.0440694729638027,0.7972491771297112,-1.3999703471356648,-0.7849832923777195,-0.6353166675633032,-1.2834573406497911,0.5596406313378746,0.9940178924830986,0.9860966422066364
1.5034576928643832,1.0100505037878158,-1.1304851604210315,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-0.3333025018317183,-1.3933037788854497,0.3037794800486472,-1.10197128209058,-1.635630759779593,-1.2376500180398633,-1.0125531696099364,-1.6489419958612583,0.16464113511687545,1.2015222700971322,-1.2834573406497911,0.5596406313378746,-1.0060181084889308,0.9860966422066364
1.6696279967700942,-0.9900495037128095,-0.3950109438283302,0.981177118456265,-0.9928903907106499,-1.0439655927422493,0.27305283103008604,0.6875481622004737,-1.0807609833857965,-1.10197128209058,-1.4706904320652185,0.15753155128106347,0.9175940902121431,0.6877030332893117,0.8768594557378216,-1.3241312691859664,1.0963665686994153,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
1.036815058608619,-0.9900495037128095,0.3404632727643712,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,1.1550242242836197,1.7279741327434355,1.2927369539303928,0.6468424962717766,-1.635630759779593,1.2371631695439453,-0.10070902048535689,-0.43451362041086344,-1.259795506125017,-0.1761069331481943,-0.9173305853652978,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
0.5246463136937559,-0.9900495037128095,0.7082003810607219,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-1.3255203192419436,0.6875481622004737,-0.48738649905674925,1.0840459408623657,-1.635630759779593,-0.5569636950432237,-0.2742834143542489,-0.9887060681296845,-1.0223893992513682,-1.094526401978412,-1.4665207182920377,-1.7868609675630667,0.9940178924830986,-1.0140993866100703
-1.15754347515995,-0.9900495037128095,0.7082003810607219,0.981177118456265,-0.9928903907106499,0.9578859753157553,-1.546013167555327,-1.3933037788854497,-1.448088045113302,1.5212493854529547,-1.3057501043508444,-0.7733408043401688,-0.010450335673533035,-0.8430115477643373,1.5890777763587678,2.1199417389273503,-1.2834573406497911,0.5596406313378746,0.9940178924830986,0.9860966422066364
0.5997643962812691,1.0100505037878158,-0.3950109438283302,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,1.2101474363619655,-1.0464951220377958,-0.06354758167885831,0.2096390516811874,0.34365317279289903,-1.3075217929170018,-1.5355906764681977,1.4466055032936207,1.1142655626114704,1.8903368717197957,0.9133031910571687,0.5596406313378746,0.9940178924830986,-1.0140993866100703
0.7978029776483495,-0.9900495037128095,1.3210955615546396,-1.019183979313898,1.0806711631577455,-1.0439655927422493,0.7691617397351987,-0.3528778083424879,-1.5893676842392657,-0.6647678374999909,1.0034144836503964,-0.06109948623772473,-0.7209481879101978,0.2294107761907192,-0.310171078630422,0.7423125356820234,1.6455567016261552,0.5596406313378746,0.9940178924830986,-1.0140993866100703
1.4852472486007435,-0.9900495037128095,1.5662536337522064,-1.019183979313898,0.6198797067425464,0.9578859753157553,0.27305283103008604,-0.3528778083424879,-0.3178509321055929,1.0840459408623657,0.6735338282216478,-1.0731132578453113,-0.3321415456438796,1.4567487926861449,-1.0223893992513682,0.053497934059360104,-0.002013697154064573,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-1.4944366940372822,-0.9900495037128095,-1.253064196519815,0.981177118456265,-0.3017032060878515,-1.0439655927422493,-0.2781792897533724,-1.0464951220377958,0.7841302530769236,-0.6647678374999909,0.013772517364150388,0.7660921711787213,0.38992793285071126,0.28842627811085986,1.5890777763587678,-0.8649215347708576,-1.6495840959342845,0.5596406313378746,0.9940178924830986,0.9860966422066364
0.8410527827744936,-0.9900495037128095,0.3404632727643712,0.981177118456265,0.6198797067425464,-1.0439655927422493,-0.22305607767502658,-0.3528778083424879,1.2079691704548146,-1.10197128209058,0.5085935005072734,0.8292021613903303,-0.21642528306461825,-1.507858061583422,0.6394533488641729,1.2015222700971322,-0.5512038300808045,-1.7868609675630667,-1.0060181084889308,0.9860966422066364
-0.14458751299499858,-0.9900495037128095,-1.1304851604210315,-1.019183979313898,1.311066891365345,-1.0439655927422493,-0.38842571391006414,-1.3933037788854497,0.13424391309749079,-1.10197128209058,0.34365317279289903,-1.145238960944293,0.5773882782291146,0.9486622058424338,-0.7849832923777195,-0.4057118003557487,0.18104968048818207,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-0.72959803496442,-0.9900495037128095,-0.7627480521246808,0.981177118456265,-0.7624946625030504,-1.0439655927422493,-1.3255203192419436,-1.3933037788854497,-0.48738649905674925,1.0840459408623657,-0.8109291212077213,0.017788001526786473,-1.3435016805866238,-0.4354357376283657,1.1142655626114704,-0.4057118003557487,0.5471764357726754,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-0.14686381852795355,-0.9900495037128095,-1.007906124322248,0.981177118456265,-0.7624946625030504,0.9578859753157553,-0.38842571391006414,1.0343568190481278,-1.3915761894629166,-1.10197128209058,-0.31610813806459825,1.0185321320251572,0.4848152681657056,-1.6959699739538705,1.5890777763587678,0.2831028012669145,-1.4665207182920377,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-0.25840278964274593,1.0100505037878158,1.4436745976534233,-1.019183979313898,1.311066891365345,-1.0439655927422493,-0.4986721380667558,-0.3528778083424879,-0.6569220660079056,-1.539174726681169,0.6735338282216478,0.2905133163698109,-0.723262513161783,-0.44557902702088986,0.40204724199052416,0.5127076684744689,0.18104968048818207,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-0.34034978882912403,1.0100505037878158,-0.7627480521246808,0.981177118456265,1.7718583477805439,0.9578859753157553,-1.6562595917120186,0.6875481622004737,0.13424391309749079,0.2096390516811874,0.838474155936022,-0.02052877824454754,0.017321567345489692,0.5908807254515809,0.16464113511687545,1.4311271373046865,-0.18507707479631122,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-1.3214374735327064,1.0100505037878158,1.4436745976534233,-1.019183979313898,-0.9928903907106499,0.9578859753157553,-1.1050274709285601,1.3811654758957816,-1.052505055560604,1.0840459408623657,-1.14080977663647,1.1515138971139047,1.1536552658738362,1.3488610782383876,0.40204724199052416,1.2015222700971322,1.6455567016261552,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-1.1006358368360765,1.0100505037878158,1.5662536337522064,-1.019183979313898,0.15908825032734747,0.9578859753157553,1.044777800126928,-0.6996864651901419,1.2927369539303928,-0.22756439290940172,0.34365317279289903,-0.7440397374562074,-0.6052319253309364,0.5622950917090127,-0.5475771855040708,-1.094526401978412,0.9133031910571687,0.5596406313378746,-1.0060181084889308,0.9860966422066364
0.8478816993733583,1.0100505037878158,-1.253064196519815,0.981177118456265,1.5414626195729444,-1.0439655927422493,-1.6011363796336728,0.34073950535281977,-1.1937846946865676,-0.6647678374999909,0.6735338282216478,-0.7710868761183256,-1.243985694768459,-0.48799641902599095,-1.0223893992513682,-0.4057118003557487,-0.36814045243855786,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-1.1939643636872292,1.0100505037878158,0.7082003810607219,0.981177118456265,0.15908825032734747,0.9578859753157553,-1.160150683006906,-1.3933037788854497,1.6035521600075127,-0.6647678374999909,-0.6459887934933469,2.4903472608887522,1.4012880677934556,-0.8854289397694384,0.6394533488641729,1.4311271373046865,1.4624933239839086,0.5596406313378746,0.9940178924830986,-1.0140993866100703
-0.3949811216200428,-0.9900495037128095,0.21788423666558757,0.981177118456265,-0.07130747788025202,0.9578859753157553,0.8794081638918904,-0.6996864651901419,0.6145946861257672,0.6468424962717766,-0.31610813806459825,1.2236396002128864,1.6118916656877111,-1.7144123183039144,-1.0223893992513682,-1.3241312691859664,0.18104968048818207,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-0.9253603107985454,1.0100505037878158,-1.253064196519815,-1.019183979313898,0.15908825032734747,0.9578859753157553,-0.5537953501451016,0.34073950535281977,1.6318080878327055,-1.539174726681169,-0.31610813806459825,-0.6809297472445985,0.41538551061814877,-0.4225260965833349,0.6394533488641729,-0.4057118003557487,1.6455567016261552,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.7865056732882937,-0.9900495037128095,1.198516525455856,0.981177118456265,-0.9928903907106499,-1.0439655927422493,1.2652706484403113,0.34073950535281977,1.2079691704548146,-1.10197128209058,-1.4706904320652185,-0.5141390588282034,-0.7070622364006864,0.7946686305195666,-1.259795506125017,-1.094526401978412,-0.9173305853652978,-1.7868609675630667,0.9940178924830986,0.9860966422066364
-0.13775859639613375,1.0100505037878158,-0.2724319077295465,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,0.9345313759702363,0.34073950535281977,-1.1090169112109893,0.2096390516811874,-1.635630759779593,-0.14900268688960866,-1.5170760744555158,0.3566629522060225,-1.4972016129986656,-0.6353166675633032,1.0963665686994153,-1.7868609675630667,-1.0060181084889308,-1.0140993866100703
1.2894849727666182,1.0100505037878158,-1.253064196519815,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-0.16793286559668072,-1.0464951220377958,1.1797132426296217,-0.22756439290940172,-1.3057501043508444,0.2544504648203201,-0.8343501252378739,-0.7821518114091922,1.5890777763587678,-0.4057118003557487,1.0963665686994153,-1.7868609675630667,0.9940178924830986,-1.0140993866100703
-0.9276366163315004,-0.9900495037128095,0.21788423666558757,0.981177118456265,0.6198797067425464,0.9578859753157553,-0.3333025018317183,0.6875481622004737,1.038433603503658,0.2096390516811874,0.17871284507852472,-0.30226980597494474,-1.4592179431658852,-0.3874856423182514,-1.4972016129986656,-0.1761069331481943,1.6455567016261552,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.9595048937928696,-0.9900495037128095,-0.2724319077295465,-1.019183979313898,-0.9928903907106499,-1.0439655927422493,-1.160150683006906,-0.006069151494834045,0.10598798527229807,-0.6647678374999909,0.17871284507852472,0.17330904883396572,-1.1236407816860272,-0.07857637445501499,-0.310171078630422,0.053497934059360104,1.4624933239839086,-1.7868609675630667,0.9940178924830986,-1.0140993866100703
0.3994495093812338,1.0100505037878158,-0.027273835531979467,0.981177118456265,0.15908825032734747,-1.0439655927422493,0.658915315578507,-0.006069151494834045,1.1232013869792363,-1.10197128209058,-0.6459887934933469,-1.3548542855757086,-0.30899829312802735,1.2594157081406745,0.8768594557378216,1.4311271373046865,0.3641130581304287,-1.7868609675630667,0.9940178924830986,-1.0140993866100703
0.5861065630835395,1.0100505037878158,0.4630423088631546,0.981177118456265,2.0022540759881435,-1.0439655927422493,0.3281760431084319,-1.3933037788854497,-0.40261871558117107,-0.22756439290940172,0.6735338282216478,-0.3248090881933765,-1.7253653470981865,-0.1818535028152612,1.1142655626114704,-0.4057118003557487,-0.9173305853652978,-1.7868609675630667,-1.0060181084889308,0.9860966422066364
0.5542382856221701,-0.9900495037128095,-1.253064196519815,-1.019183979313898,-0.532098934295451,-1.0439655927422493,0.8794081638918904,-1.0464951220377958,0.049476129621912605,1.0840459408623657,0.013772517364150388,-0.025036634688233896,-1.4106171128825955,0.7808368722570337,-0.07276497175677328,0.5127076684744689,0.18104968048818207,0.5596406313378746,0.9940178924830986,0.9860966422066364
-0.4018100382189076,-0.9900495037128095,-1.253064196519815,-1.019183979313898,-0.3017032060878515,0.9578859753157553,0.38329925518677777,1.3811654758957816,-0.45913057123155654,-0.22756439290940172,-0.9758694489220956,-0.16703411266435406,-1.0056101938551807,-0.7185257234015405,0.8768594557378216,-1.3241312691859664,-0.002013697154064573,0.5596406313378746,-1.0060181084889308,0.9860966422066364
1.4511026656064194,-0.9900495037128095,1.5662536337522064,0.981177118456265,-0.3017032060878515,0.9578859753157553,1.3203938605186571,-0.3528778083424879,1.1797132426296217,-0.6647678374999909,-0.9758694489220956,-0.9243539952036617,-1.5425336522229534,0.8269427331321436,-0.07276497175677328,-0.8649215347708576,1.279429946341662,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
-0.3540076220268537,1.0100505037878158,1.6888326698509901,0.981177118456265,-0.7624946625030504,0.9578859753157553,0.38329925518677777,1.7279741327434355,0.9254098922028873,1.5212493854529547,-1.3057501043508444,-0.2752226673128266,-1.6420496380411183,1.0362633415051425,-1.0223893992513682,0.053497934059360104,-0.9173305853652978,0.5596406313378746,-1.0060181084889308,0.9860966422066364
-1.0505571151110675,1.0100505037878158,1.3210955615546396,-1.019183979313898,-0.3017032060878515,-1.0439655927422493,-0.11280965351833487,1.3811654758957816,0.219011696573069,0.2096390516811874,1.1683548113647708,-1.0280346934084479,-0.25114016183839666,1.624574126271545,0.40204724199052416,0.9719174028895778,-0.7342672077230512,0.5596406313378746,-1.0060181084889308,-1.0140993866100703
